,data3,data2,hour,PM2.5,newi
7752,Wednsday,11-19-2014,23,384,47
7898,Wednsday,11-26-2014,1,248,48
7900,Wednsday,11-26-2014,3,239,48
7902,Wednsday,11-26-2014,5,209,48
7904,Wednsday,11-26-2014,7,175,48
7906,Wednsday,11-26-2014,9,176,48
7908,Wednsday,11-26-2014,11,184,48
7910,Wednsday,11-26-2014,13,231,48
7912,Wednsday,11-26-2014,15,244,48
7914,Wednsday,11-26-2014,17,303,48
7916,Wednsday,11-26-2014,19,323,48
7918,Wednsday,11-26-2014,21,347,48
7920,Wednsday,11-26-2014,23,390,48
8066,Wednsday,12-3-2014,1,131,49
8068,Wednsday,12-3-2014,3,31,49
8070,Wednsday,12-3-2014,5,14,49
8072,Wednsday,12-3-2014,7,5,49
8074,Wednsday,12-3-2014,9,11,49
8076,Wednsday,12-3-2014,11,8,49
8078,Wednsday,12-3-2014,13,5,49
8080,Wednsday,12-3-2014,15,7,49
8082,Wednsday,12-3-2014,17,10,49
8084,Wednsday,12-3-2014,19,9,49
8086,Wednsday,12-3-2014,21,4,49
8088,Wednsday,12-3-2014,23,6,49
8234,Wednsday,12-10-2014,1,265,50
8236,Wednsday,12-10-2014,3,263,50
8238,Wednsday,12-10-2014,5,265,50
8240,Wednsday,12-10-2014,7,273,50
8242,Wednsday,12-10-2014,9,148,50
8244,Wednsday,12-10-2014,11,56,50
8246,Wednsday,12-10-2014,13,48,50
8248,Wednsday,12-10-2014,15,23,50
8250,Wednsday,12-10-2014,17,9,50
8252,Wednsday,12-10-2014,19,11,50
8254,Wednsday,12-10-2014,21,11,50
8256,Wednsday,12-10-2014,23,9,50
8402,Wednsday,12-17-2014,1,10,51
8404,Wednsday,12-17-2014,3,4,51
8406,Wednsday,12-17-2014,5,31,51
8408,Wednsday,12-17-2014,7,44,51
8410,Wednsday,12-17-2014,9,74,51
8758,Wednsday,12-31-2014,21,9,52
8760,Wednsday,12-31-2014,23,8,52
8906,Wednsday,1-7-2015,1,105,53
8908,Wednsday,1-7-2015,3,51,53
8910,Wednsday,1-7-2015,5,19,53
8912,Wednsday,1-7-2015,7,14,53
8914,Wednsday,1-7-2015,9,21,53
8916,Wednsday,1-7-2015,11,37,53
8918,Wednsday,1-7-2015,13,35,53
8920,Wednsday,1-7-2015,15,53,53
8922,Wednsday,1-7-2015,17,64,53
8924,Wednsday,1-7-2015,19,71,53
8926,Wednsday,1-7-2015,21,63,53
8928,Wednsday,1-7-2015,23,82,53
9074,Wednsday,1-14-2015,1,227,54
9076,Wednsday,1-14-2015,3,185,54
9078,Wednsday,1-14-2015,5,169,54
9080,Wednsday,1-14-2015,7,157,54
9082,Wednsday,1-14-2015,9,151,54
9084,Wednsday,1-14-2015,11,193,54
9086,Wednsday,1-14-2015,13,204,54
9088,Wednsday,1-14-2015,15,221,54
9090,Wednsday,1-14-2015,17,207,54
9092,Wednsday,1-14-2015,19,202,54
9094,Wednsday,1-14-2015,21,243,54
9096,Wednsday,1-14-2015,23,251,54
9242,Wednsday,1-21-2015,1,14,55
9244,Wednsday,1-21-2015,3,12,55
9246,Wednsday,1-21-2015,5,12,55
9248,Wednsday,1-21-2015,7,12,55
9250,Wednsday,1-21-2015,9,14,55
9252,Wednsday,1-21-2015,11,12,55
9254,Wednsday,1-21-2015,13,13,55
9256,Wednsday,1-21-2015,15,8,55
9258,Wednsday,1-21-2015,17,8,55
9260,Wednsday,1-21-2015,19,17,55
9262,Wednsday,1-21-2015,21,27,55
9264,Wednsday,1-21-2015,23,37,55
9410,Wednsday,1-28-2015,1,32,56
9412,Wednsday,1-28-2015,3,21,56
9414,Wednsday,1-28-2015,5,13,56
9416,Wednsday,1-28-2015,7,7,56
9418,Wednsday,1-28-2015,9,10,56
9420,Wednsday,1-28-2015,11,16,56
9422,Wednsday,1-28-2015,13,14,56
9424,Wednsday,1-28-2015,15,26,56
9426,Wednsday,1-28-2015,17,35,56
9428,Wednsday,1-28-2015,19,39,56
